"title","average_rating","director","writer","metascore","cast","release_date","country_of_origin","languages","budget","worldwide_gross","runtime","first_released"
"Raiders of the Lost Ark","8.4","Steven Spielberg","Lawrence Kasdan, George Lucas, Philip Kaufman","86","Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies, Ronald Lacey, Denholm Elliott, Alfred Molina, Wolf Kahler, Anthony Higgins, Vic Tablian, Don Fellows, William Hootkins, Bill Reimbold, Fred Sorenson, Patrick Durkin, Matthew Scurfield, Malcolm Weaver, Sonny Caldinez","1981-12-10","United States","English, German, Spanish, Nepali, Hebrew, Arabic","18000000","389925971","1 hour 55 minutes","India"
"Avengers: Infinity War","8.4","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Stan Lee","68","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Don Cheadle, Benedict Cumberbatch, Tom Holland, Chadwick Boseman, Zoe Saldana, Karen Gillan, Tom Hiddleston, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Idris Elba, Danai Gurira","2018-04-27","United States, Norway","English","321000000","2052415039","2 hours 29 minutes","India"
"Coco","8.4","Lee Unkrich, Adrian Molina","Lee Unkrich, Jason Katz, Matthew Aldrich","81","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renee Victor, Jaime Camil, Alfonso Arau, Herbert Siguenza, Gabriel Iglesias, Lombardo Boyar, Ana Ofelia Murguía, Natalia Cordova-Buckley, Selene Luna, Edward James Olmos, Sofía Espinosa, Carla Medina, Dyana Ortelli, Luis Valdez","2017-11-24","United States, Mexico","English, Spanish","175000000","814641172","1 hour 45 minutes","India"
"Spider-Man: Into the Spider-Verse","8.4","Bob Persichetti, Peter Ramsey, Rodney Rothman","Phil Lord, Rodney Rothman","87","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Luna Lauren Velez, Zoë Kravitz, John Mulaney, Kimiko Glenn, Nicolas Cage, Kathryn Hahn, Liev Schreiber, Chris Pine, Natalie Morales, Edwin R. Habacon, Oscar Isaac, Greta Lee","2018-12-14","Canada, United States","English, Spanish","90000000","393602435","1 hour 57 minutes","India"
"WALL·E","8.4","Andrew Stanton","Andrew Stanton, Pete Docter, Jim Reardon","95","Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, MacInTalk, John Ratzenberger, Kathy Najimy, Sigourney Weaver, Karleen Griffin, Kim Kopf, Niki McElroy, Garrett Palmer, Lori Richardson, Jessica Skelton, Kai Steel Smith, Michael Toy","2008-08-29","United States, Japan","English","180000000","527403656","1 hour 38 minutes","India"
"Amadeus","8.4","Milos Forman","Peter Shaffer, Zdenek Mahler","87","F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice, Simon Callow, Christine Ebersole, Jeffrey Jones, Charles Kay, Kenneth McMillan, Kenny Baker, Lisbeth Bartlett, Barbara Bryne, Martin Cavina, Roderick Cook, Milan Demjanenko, Peter DiGesu, Richard Frank, Patrick Hines","1984-09-19","United States, France","English, Italian, Latin, German, French","18000000","52075942","2 hours 40 minutes","United States"
"Sunset Blvd.","8.4","Billy Wilder","Charles Brackett, Billy Wilder, D.M. Marshman Jr.","94","William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark, Lloyd Gough, Jack Webb, Franklyn Farnum, Larry J. Blake, Charles Dayton, Cecil B. DeMille, Hedda Hopper, Buster Keaton, Anna Q. Nilsson, H.B. Warner, Ray Evans, Jay Livingston, Fred Aldrich","1950-08-04","United States","English","1752000","308663","1 hour 50 minutes","Turkey"
"Capharnaüm","8.4","Nadine Labaki","Nadine Labaki, Jihad Hojeily, Michelle Keserwany","75","Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad, Fadi Yousef, Cedra Izzam, Alaa Chouchnieh, Elias Khoury, Mohammad Al Abdallah, Mohamad Abdellatif, Abdo Abdo, Hampig Abraham, Jamil Ahmad, Mohamad Akkar, Elias Akobegia, Riman Al Rafeea, Legamett Alamou, Majd Nabil Alhalabi","2019-06-21","Lebanon, United States, France, Cyprus, Qatar, United Kingdom","Arabic, Amharic","4000000","64417003","2 hours 6 minutes","India"
"Paths of Glory","8.4","Stanley Kubrick","Stanley Kubrick, Calder Willingham, Jim Thompson","90","Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, Wayne Morris, Richard Anderson, Joe Turkel, Christiane Kubrick, Jerry Hausner, Peter Capell, Emile Meyer, Bert Freed, Kem Dibbs, Timothy Carey, Fred Bell, John Stein, Harold Benedict, Leon Briggs","1957-12-25","United States","English, German, Latin","935000","8290","1 hour 28 minutes","United States"
"Witness for the Prosecution","8.4","Billy Wilder","Agatha Christie, Billy Wilder, Harry Kurnitz","76","Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams, Henry Daniell, Ian Wolfe, Torin Thatcher, Norma Varden, Una O'Connor, Francis Compton, Philip Tonge, Ruta Lee, Patrick Aherne, Don Ames, Larry Arnold, Walter Bacon, Eddie Baker","1958-02-06","United States","English, German","3000000","7903","1 hour 56 minutes","United States"
"The Great Dictator","8.4","Charles Chaplin","Charles Chaplin",\N,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell, Billy Gilbert, Grace Hayle, Carter DeHaven, Maurice Moscovitch, Emma Dunn, Bernard Gorcey, Paul Weigel, Chester Conklin, Esther Michelson, Hank Mann, Florence Wright, Eddie Gribbon, Rudolph Anders","1941-03-07","United States","English, Esperanto, Latin","2000000","972212","2 hours 5 minutes","United States"
"Samsara","8.4","Ron Fricke","Ron Fricke, Mark Magidson","65","Balinese Tari Legong Dancers, Ni Made Megahadi Pratiwi, Puti Sri Candra Dewi, Putu Dinda Pratika, Marcos Luna, Hiroshi Ishiguro, Olivier De Sagazan, Ladyboys of Cascade Bar, Kikumaru, Crisanto Neire, Robert Henline, Patrick Disanto, Tai Lihua, Collin Alfredo St. Dic","2012-08-23","United States, Indonesia, Singapore, Thailand, Kenya, Denmark, Brazil, Jordan, United Arab Emirates, Saudi Arabia, South Africa, Italy, Ghana, Egypt, China, Japan, South Korea","","4000000","4426444","1 hour 42 minutes","Germany"
"The Wild Robot","8.3","Chris Sanders","Chris Sanders, Peter Brown","85","Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu, Matt Berry, Ving Rhames, Mark Hamill, Catherine O'Hara, Boone Storm, Alexandra Novelle, Raphael Alejandro, Paul-Mikél Williams, Eddie Park, Dee Bradley Baker, Randy Thom, Avrielle Corti, Keston John","2024-10-18","United States, Japan","English","78000000","318387315","1 hour 42 minutes","India"
"Oppenheimer","8.3","Christopher Nolan","Christopher Nolan, Kai Bird, Martin Sherwin","90","Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Alden Ehrenreich, Scott Grimes, Jason Clarke, Kurt Koehler, Tony Goldwyn, John Gowans, Macon Blair, James D'Arcy, Kenneth Branagh, Harry Groener, Gregory Jbara, Ted King, Tim DeKay, Steven Houska","2023-07-21","United States, United Kingdom","English, German, Italian","100000000","975594978","3 hours","India"
"Good Will Hunting","8.3","Gus Van Sant","Matt Damon, Ben Affleck","71","Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton, Rachel Majorowski, Colleen McCauley, Casey Affleck, Cole Hauser, Matt Mercier, Ralph St. George, Rob Lynds, Dan Washington, Alison Folland, Derrick Bridgeman, Vik Sahay, Shannon Egleson, Rob Lyons","1998-01-09","United States","English","10000000","225933435","2 hours 6 minutes","United States"
"Eternal Sunshine of the Spotless Mind","8.3","Michel Gondry","Charlie Kaufman, Michel Gondry, Pierre Bismuth","89","Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne, Elijah Wood, Thomas Jay Ryan, Mark Ruffalo, Jane Adams, David Cross, Kirsten Dunst, Ryan Whitney, Debbon Ayer, Amir Ali Said, Brian Price, Paulie Litt, Josh Flitter, Lola Daehler, Deirdre O'Connell","2019-12-15","United States","English","20000000","73395181","1 hour 48 minutes","India"
"Requiem for a Dream","8.3","Darren Aronofsky","Hubert Selby Jr., Darren Aronofsky","71","Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans, Christopher McDonald, Louise Lasser, Marcia Jean Kurtz, Janet Sarno, Suzanne Shepherd, Joanne Gordon, Charlotte Aronofsky, Mark Margolis, Michael Kaycheck, Jack O'Connell, Chas Mastin, Ajay Naidu, Sean Gullette, Samia Shoaib","2017-10-04","United States","English","4500000","7390108","1 hour 42 minutes","India"
"American Beauty","8.3","Sam Mendes","Alan Ball","84","Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari, Peter Gallagher, Allison Janney, Chris Cooper, Scott Bakula, Sam Robards, Barry Del Sherman, Ara Celi, John Cho, Fort Atkinson, Sue Casey, Kent Faulcon, Brenda Wehle, Lisa Cloud","2020-04-01","United States","English","15000000","356296601","2 hours 2 minutes","India"
"Heat","8.3","Michael Mann","Michael Mann","76","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore, Diane Venora, Amy Brenneman, Ashley Judd, Mykelti Williamson, Wes Studi, Ted Levine, Dennis Haysbert, William Fichtner, Natalie Portman, Tom Noonan, Kevin Gage, Hank Azaria, Susan Traylor","1995-12-15","United States","English, Spanish","60000000","187436818","2 hours 50 minutes","United States"
"Braveheart","8.3","Mel Gibson","Randall Wallace","68","Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen, James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo, Sean McGinley, Alan Tall, Andrew Weir, Gerda Stevenson, Ralph Riach, Mhairi Calvey, Brian Cox, Peter Hanly, Stephen Billington, Barry McGovern","1995-06-22","United States","English, French, Latin, Gaelic, Italian","72000000","213216216","2 hours 58 minutes","India"
"Scarface","8.3","Brian De Palma","Oliver Stone, Howard Hawks, Ben Hecht","65","Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio, Robert Loggia, Miriam Colon, F. Murray Abraham, Paul Shenar, Harris Yulin, Ángel Salazar, Arnaldo Santana, Pepe Serna, Michael P. Moran, Al Israel, Dennis Holahan, Mark Margolis, Michael Alldredge, Ted Beniades",\N,"United States","English, Spanish","50000000","66443303","2 hours 50 minutes","India"
"2001: A Space Odyssey","8.3","Stanley Kubrick","Stanley Kubrick, Arthur C. Clarke","84","Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter, Leonard Rossiter, Margaret Tyzack, Robert Beatty, Sean Sullivan, Douglas Rain, Frank W. Miller, Bill Weston, Ed Bishop, Glenn Beck, Alan Gifford, Ann Gillis, Edwina Carroll, Penny Brahms, Heather Downham","2017-10-04","United Kingdom, United States","English, Russian, French","12000000","66764997","2 hours 29 minutes","India"
"Once Upon a Time in America","8.3","Sergio Leone","Harry Grey, Leonardo Benvenuti, Piero De Bernardi","75","Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden, Darlanne Fluegel, Larry Rapp, Dutch Miller, Robert Harper, Richard Bright, Gerard Murphy, Amy Ryder, Olga Karlatos",\N,"Italy, United States","English, Italian, French, Yiddish, Hebrew","30000000","5475540","3 hours 49 minutes","India"
"Reservoir Dogs","8.3","Quentin Tarantino","Quentin Tarantino, Roger Avary","81","Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn, Steve Buscemi, Lawrence Tierney, Randy Brooks, Kirk Baltz, Edward Bunker, Quentin Tarantino, Rich Turner, David Steen, Tony Cosmo, Stevo Polyi, Michael Sottile, Robert Ruth, Lawrence Bender, Linda Kaye","1992-09-02","United States","English","1200000","2931191","1 hour 39 minutes","India"
"Toy Story","8.3","John Lasseter","John Lasseter, Pete Docter, Andrew Stanton","96","Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten, Laurie Metcalf, R. Lee Ermey, Sarah Rayne, Penn Jillette, Jack Angel, Spencer Aste, Greg Berg, Lisa Bradley, Kendall Cunningham","1995-11-22","United States","English","30000000","394436586","1 hour 21 minutes","United States"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","8.3","Stanley Kubrick","Stanley Kubrick, Terry Southern, Peter George","97","Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens, Peter Bull, James Earl Jones, Tracy Reed, Jack Creley, Frank Berry, Robert O'Neil, Glenn Beck, Roy Stephens, Shane Rimmer, Hal Galili, Paul Tamarin, Laurence Herder, Gordon Tanner","1964-01-29","United Kingdom, United States","English, Russian","1800000","9631984","1 hour 35 minutes","United Kingdom"
"Lawrence of Arabia","8.3","David Lean","Robert Bolt, Michael Wilson","100","Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif, José Ferrer, Anthony Quayle, Claude Rains, Arthur Kennedy, Donald Wolfit, I.S. Johar, Gamil Ratib, Michel Ray, John Dimech, Zia Mohyeddin, Howard Marion-Crawford, Jack Gwillim, Hugh Miller","2016-07-30","United Kingdom, United States","English, Arabic, Turkish","15000000","45763719","3 hours 47 minutes","India"
"Up","8.3","Pete Docter, Bob Peterson","Pete Docter, Bob Peterson, Tom McCarthy","88","Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer, Bob Peterson, Delroy Lindo, Jerome Ranft, David Kaye, Elie Docter, Jeremy Leary, Mickie McGowan, Danny Mann, Donald Fullilove, Jess Harnell, Josh Cooley, Pete Docter, Mark Andrews, Bob Bergen","2009-09-11","United States","English","175000000","735102136","1 hour 36 minutes","India"
"Star Wars: Episode VI - Return of the Jedi","8.3","Richard Marquand","Lawrence Kasdan, George Lucas","58","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, Peter Mayhew, Sebastian Shaw, Ian McDiarmid, Frank Oz, James Earl Jones, David Prowse, Alec Guinness, Kenny Baker, Michael Pennington, Kenneth Colley, Michael Carter, Denis Lawson, Tim Rose","1983-12-16","United States","English, Kikuyu, Tagalog, Kalmyk-Oirat, Quechua, Polish","32500000","482466382","2 hours 11 minutes","India"
"Double Indemnity","8.3","Billy Wilder","Billy Wilder, Raymond Chandler, James M. Cain","95","Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr, Porter Hall, Jean Heather, Tom Powers, Richard Gaines, Fortunio Bonanova, John Philliber, Lev Abramov, James Adamson, John Berry, Raymond Chandler, Edmund Cobb, Kernan Cripps, Betty Farrington, Bess Flowers","1944-07-06","United States","English","927262","19543","1 hour 47 minutes","United States"
"North by Northwest","8.3","Alfred Hitchcock","Ernest Lehman, Gerald Devriès","98","Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G. Carroll, Josephine Hutchinson, Philip Ober, Martin Landau, Adam Williams, Edward Platt, Robert Ellenstein, Les Tremayne, Philip Coolidge, Patrick McVey, Edward Binns, Ken Lynch, Stanley Adams, John Alban","1959-12-18","United States","English, French","3101000","192323","2 hours 16 minutes","United States"
"Toy Story 3","8.3","Lee Unkrich","John Lasseter, Andrew Stanton, Lee Unkrich","92","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Emily Ricks Hahn, Laurie Metcalf, Blake Clark, Teddy Newton, Bud Luckey, Bea Miller, Javier Fernández-Peña","2010-06-25","United States","English, Spanish","200000000","1067316101","1 hour 43 minutes","India"
"Citizen Kane","8.3","Orson Welles","Herman J. Mankiewicz, Orson Welles, John Houseman","100","Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick, Ray Collins, Erskine Sanford, Everett Sloane, William Alland, Paul Stewart, George Coulouris, Fortunio Bonanova, Gus Schilling, Philip Van Zandt, Georgia Backus, Harry Shannon, Sonny Bupp, Buddy Swan","2020-10-13","United States","English, Italian","839727","1707754","1 hour 59 minutes","India"
"Vertigo","8.3","Alfred Hitchcock","Alec Coppel, Samuel A. Taylor, Pierre Boileau","100","James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones, Raymond Bailey, Ellen Corby, Konstantin Shayne, Lee Patrick, David Ahdar, Isabel Analla, Jack Ano, Margaret Bacon, John Benson, Danny Borzage, Margaret Brayton, Paul Bryar, Boyd Cabeen","2014-10-30","United States","English","2479000","7808900","2 hours 8 minutes","India"
"To Kill a Mockingbird","8.3","Robert Mulligan","Harper Lee, Horton Foote","88","Gregory Peck, John Megna, Frank Overton, Rosemary Murphy, Ruth White, Brock Peters, Estelle Evans, Paul Fix, Collin Wilcox Paxton, James Anderson, Alice Ghostley, Robert Duvall, William Windom, Crahan Denton, Richard Hale, Mary Badham, Phillip Alford, R.L. Armstrong","1963-03-06","United States","English","2000000","599934","2 hours 9 minutes","India"
"The Apartment","8.3","Billy Wilder","Billy Wilder, I.A.L. Diamond","94","Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen, David Lewis, Hope Holiday, Joan Shawlee, Naomi Stevens, Johnny Seven, Joyce Jameson, Willard Waterman, David White, Edie Adams, Dorothy Abbott, Bill Baldwin, Paul Bradley, Benny Burt","1960-06-29","United States","English","3000000","18778738","2 hours 5 minutes","Canada"
"Singin' in the Rain","8.3","Stanley Donen, Gene Kelly","Betty Comden, Adolph Green","99","Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell, Cyd Charisse, Douglas Fowley, Rita Moreno, Dawn Addams, John Albright, Shirlee Allard, Bebe Allen, Sue Allen, John Angelo, Marie Ardell, Bette Arlen, David Bair, Jane Bateman","1952-04-10","United States","English","2540800","2093275","1 hour 43 minutes","United States"
"The Sting","8.3","George Roy Hill","David S. Ward","83","Paul Newman, Robert Redford, Robert Shaw, Charles Durning, Ray Walston, Eileen Brennan, Harold Gould, John Heffernan, Dana Elcar, Jack Kehoe, Dimitra Arliss, Robert Earl Jones, James Sloyan, Charles Dierkop, Lee Paul, Sally Kirkland, Avon Long, Arch Johnson","1973-12-25","United States","English","5500000","156000000","2 hours 9 minutes","United States"
"Dangal","8.3","Nitesh Tiwari","Piyush Gupta, Shreyas Jain, Nikhil Mehrotra",\N,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Aparshakti Khurana, Zaira Wasim, Suhani Bhatnagar, Ritvik Sahore, Girish Kulkarni, Ravi Aneja, Anurag Arora, Mahesh Balraj, Vivan Bhatena, Anmol Charan, Karamveer Choudhary, Ishika Gagneja, Badrul Islam, Jagbir","2016-12-23","India, United States","Hindi, English","700000000","303726782","2 hours 41 minutes","India"
"Judgment at Nuremberg","8.3","Stanley Kramer","Abby Mann, Montgomery Clift, Charles Dorat","60","Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich, Maximilian Schell, Judy Garland, Montgomery Clift, William Shatner, Werner Klemperer, Kenneth MacKenna, Torben Meyer, Joseph Bernard, Alan Baxter, Edward Binns, Virginia Christine, Otto Waldis, Karl Swenson, Martin Brandt","1961-12-18","United States","English, German","3000000","12180","2 hours 59 minutes","Sweden"
